date,time,exercise,sets,reps,weight_kg,note
2026-08-25,20:00,тяга верхнего блока на трицепс,3,15,25,
2026-08-25,20:00,разгибание ног,3,15,45,
2026-08-25,20:00,глубокий присед,3,10,30,
2026-08-25,20:00,жим сидя,3,10,50,
2026-08-25,20:00,тяга на спину,3,15,45,
2026-08-25,20:00,разгибания на поясницу,3,15,45,
2026-09-08,23:25,подъём штанги на бицепс,3,10,20,
2026-09-08,23:25,тяга на спину,3,15,45,
2026-09-08,23:25,глубокий присед,1,12,40,
2026-09-08,23:25,разгибание ног,3,15,45,
2026-09-08,23:25,тяга верхнего блока на трицепс,3,15,25,
