date,time,meal,name,kcal,protein_g,fat_g,carbs_g,sodium_mg,note
2026-08-17,21:00,после ужина,Мороженое 70 г,87,1,0.8,19,,
2026-08-18,09:00,в течение дня,"Энергетик Adrenaline Rush 0,5 л",240,,,58,,
2026-08-18,13:30,обед,"Лосось с песто, яйцом, зелёным горошком и помидорами",865,50,60,30,,
2026-08-18,18:05,ужин,"Курица с запечённым картофелем, айсбергом, помидорами и сацебели",800,85,20,64,,
2026-08-18,18:25,ужин,Банан ~120 г,107,1.3,0.4,27.4,,
2026-08-19,09:30,завтрак,"Энергетик без сахара 0,5 л",15,,,0.65,,
2026-08-19,09:30,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-19,11:45,обед,"Индейка су-вид с сацебели, кукурузой, горошком и корнишонами",360,44,4,38,2100,
2026-08-19,17:00,перекус,Банан крупный ~150 г,134,1.6,0.5,34,,
2026-08-19,17:00,перекус,"Яйцо куриное варёное, С0",95,7.7,6.5,0.7,,
2026-08-19,22:00,ужин,Стейк рибай Black Angus с запечённым картофелем и черри,810,54,39,51,,
2026-08-19,22:00,ужин,"Пиво Jaws «Атомная прачечная», American IPA, 0,5 л",290,2,,22,,
2026-08-19,23:50,после ужина,Мороженое 70 г,87,1,0.8,19,,
2026-08-20,09:30,завтрак,"Энергетик без сахара 0,5 л",15,,,0.65,,
2026-08-20,09:30,завтрак,Банан крупный ~150 г,134,1.6,0.5,34,,
2026-08-20,09:30,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-20,14:05,обед,"Тунец с кускусом и бобами эдамаме, 340 г",476,32.3,21.08,42.5,,
2026-08-20,19:00,ужин,Рамен с креветками (сливочный бульон),530,29,22,50,,
2026-08-20,19:00,ужин,Кимчи,45,2,1,8,,
2026-08-20,23:40,перекус,Брауни 50 г,192,6,14,9,,
2026-08-20,23:40,перекус,Йогурт 260 г,164,8.1,3.9,23.9,,
2026-08-21,09:21,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-21,09:21,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-21,11:59,обед,"Тунец с кускусом и бобами эдамаме, 340 г",476,32.3,21.08,42.5,,
2026-08-21,15:53,в течение дня,"Смузи «киви-манго-огурец» на яблочной основе, 750 мл",384,3,3,86,,
2026-08-21,19:37,ужин,"Курица с сацебели (45г), картофель 135г, кукуруза, корнишоны",529,53,12,48,,
2026-08-21,19:37,ужин,"Пиво Jaws «Атомная прачечная», American IPA, 0,5 л",290,2,,22,,
2026-08-22,07:15,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-22,07:15,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-22,10:50,в течение дня,Творожная запеканка ~200 г,360,24,16,30,,
2026-08-22,10:50,в течение дня,"Сырники, 2 шт ~140 г",310,20,14,28,,
2026-08-22,10:50,в течение дня,Сметана ~30 г,60,1,6,1,,
2026-08-23,10:42,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-23,10:42,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-23,13:40,обед,"Помидоры черри, кукуруза, корнишоны",113,4,1,24,,
2026-08-23,13:40,обед,"Стейк рибай сувид+обжарка, 260 г сырого, минус 50 г несъеденного жира",355,45,18,,,
2026-08-23,19:11,перекус,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-23,19:11,перекус,Банан крупный ~150 г,134,1.6,0.5,34,,
2026-08-24,09:56,завтрак,Творог ~240 г,290,38,12,7,,
2026-08-24,09:56,завтрак,Греческий йогурт 2 ст.л. ~30 г,29,3,2,1,,
2026-08-24,09:56,завтрак,Персик консервированный в сиропе ~80 г,60,,,14,,
2026-08-24,09:56,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-24,14:49,обед,"Стейк рибай сувид+обжарка, 260 г сырого, минус 50 г несъеденного жира",355,45,18,,,
2026-08-24,14:49,обед,"Помидоры черри, кукуруза, корнишоны",113,4,1,24,,
2026-08-24,19:40,ужин,"Тунец с кускусом и бобами эдамаме, ~227 г (2/3 порции)",317,21.5,14,28.3,,
2026-08-25,08:14,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-25,08:14,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-25,13:28,обед,Ролл с курицей тандури,462,17,27.5,36.5,1176,
2026-08-25,13:28,обед,Ролл нори сэндвич с овощами и кунжутным соусом,280,4.7,8.3,46.6,288,
2026-08-25,13:29,обед,Ролл с курицей тандури (вторая порция),462,17,27.5,36.5,1176,
2026-08-25,21:54,ужин,Биг Спешиал (Макдоналдс),570,30,33,40,,
2026-08-25,21:54,ужин,Наггетсы 7 шт (Макдоналдс),300,17,19,18,,
2026-08-25,21:54,перекус,Творог 200г,242,34,10,6,,
2026-08-25,21:54,перекус,Греческий йогурт ~150г,180,13.5,7.5,9,,
2026-08-25,21:54,перекус,"Персик консервированный, половина",36,0.5,,9,,
2026-08-26,08:04,завтрак,Протеиновое печенье Solvie,173,20,7.9,5.4,,
2026-08-26,08:04,завтрак,Энергетик без сахара 450 мл,13.5,,,0.6,,
2026-08-26,11:57,в течение дня,Протеиновое печенье Solvie,173,12,6,15,,
2026-08-26,14:00,обед,"Окрошка на квасе, 380 г",230,9,8,28,,
2026-08-26,14:00,обед,"Хинкали с бараниной, 4 шт",440,24,28,32,,
