exercise,muscles
жим ногами,"quadriceps,gluteal,hamstring"
жим ногами горизонтальный сидя в блочном тренажере,"quadriceps,gluteal,hamstring,adductor"
маятниковый присед,"quadriceps,hamstring,gluteal"
отведение бедра сидя в блочном тренажере,"gluteal,hamstring"
подъём штанги на бицепс,"biceps,forearm"
разгибание ног,quadriceps
разгибания спины в блочном тренажере,"upper-back,trapezius"
сгибания голени с упором,hamstring
трицепс в блочном тренажере,triceps
тяга верхнего блока на трицепс,triceps
тяга к животу на горизонтальном блоке,"upper-back,back-deltoids,biceps,forearm,trapezius"
ягодичный мост в рычажном тренажере,"gluteal,hamstring"
